class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
venenoso,plana,lisa,blanco,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,urbano
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
venenoso,plana,lisa,blanco,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,campana,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
venenoso,plana,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,urbano
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
venenoso,plana,lisa,blanco,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,plana,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,plana,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
venenoso,plana,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,gramíneas
comestible,convexa,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,plana,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
venenoso,plana,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,urbano
comestible,plana,lisa,gris,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,plana,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,blanco,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,blanco,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,plana,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,rosa,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,plana,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,plana,lisa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,rosa,rosa,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,escamosa,gris,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,gris,rosa,parcial,blanco,uno,pendiente,negro,solitaria,bosques
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
venenoso,plana,lisa,marrón,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,plana,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
venenoso,convexa,lisa,marrón,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,gramíneas
comestible,convexa,lisa,blanco,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
venenoso,convexa,fibrosa,gris,ninguna,fétido,libre,cercano,ancho,chocolate,ensanchándose,bulboso,sedosa,sedosa,marrón,marrón claro,parcial,blanco,uno,grande,chocolate,solitaria,gramíneas
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,plana,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
venenoso,convexa,lisa,blanco,magulladuras,picante,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,urbano
comestible,plana,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,blanco,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,blanco,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,escamosa,gris,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,blanco,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,plana,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,rosa,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,negro,solitaria,bosques
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,escamosa,gris,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,blanco,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
venenoso,plana,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,urbano
comestible,convexa,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,gris,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,plana,lisa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,escamosa,gris,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,rosa,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,plana,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,plana,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,blanco,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,blanco,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,blanco,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,fibrosa,amarillo,magulladuras,almendra,libre,apretado,angosto,blanco,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
venenoso,plana,lisa,blanco,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,rosa,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,rosa,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,plana,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,rosa,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,convexa,escamosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,blanco,gris,parcial,blanco,uno,pendiente,negro,solitaria,bosques
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,rosa,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,plana,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,plana,fibrosa,blanco,magulladuras,anís,libre,apretado,angosto,rosa,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
venenoso,plana,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
comestible,plana,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,blanco,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,escamosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,rosa,rosa,parcial,blanco,uno,pendiente,marrón,solitaria,bosques
comestible,plana,lisa,gris,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,plana,fibrosa,gris,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,rosa,blanco,parcial,blanco,uno,pendiente,negro,solitaria,bosques
comestible,convexa,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,plana,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,plana,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,plana,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,plana,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,convexa,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,blanco,afinándose,bulboso,lisa,lisa,blanco,rosa,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,plana,lisa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,plana,lisa,blanco,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,marrón,dispersa,gramíneas
comestible,convexa,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,escamosa,gris,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,gris,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,escamosa,rojo,magulladuras,ninguno,libre,cercano,ancho,marrón,afinándose,bulboso,lisa,lisa,gris,rosa,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,fibrosa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,plana,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,gramíneas
venenoso,plana,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,urbano
comestible,plana,lisa,marrón,ninguna,ninguno,libre,apretado,ancho,chocolate,afinándose,igual,fibrosa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,plana,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,dispersa,gramíneas
comestible,plana,fibrosa,marrón,magulladuras,ninguno,libre,cercano,ancho,rosa,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,negro,varias,bosques
comestible,convexa,fibrosa,rojo,magulladuras,ninguno,libre,cercano,ancho,púrpura,afinándose,bulboso,lisa,lisa,gris,blanco,parcial,blanco,uno,pendiente,negro,solitaria,bosques
comestible,plana,fibrosa,gris,ninguna,ninguno,libre,apretado,ancho,rosa,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
